countItems, Wed May 24 18:04:30 EEST 2023
getUser, Wed May 24 18:06:25 EEST 2023
receiveBid, Wed May 24 18:06:25 EEST 2023
getUser, Wed May 24 18:06:25 EEST 2023
receiveBid, Wed May 24 18:06:25 EEST 2023
getUser, Wed May 24 18:06:25 EEST 2023
receiveBid, Wed May 24 18:06:25 EEST 2023
getUser, Wed May 24 18:06:25 EEST 2023
receiveBid, Wed May 24 18:06:25 EEST 2023
getUser, Wed May 24 18:06:25 EEST 2023
receiveBid, Wed May 24 18:06:25 EEST 2023
cheapest, Wed May 24 18:06:25 EEST 2023
mostExpensive, Wed May 24 18:06:25 EEST 2023
balconyEstates, Wed May 24 18:06:25 EEST 2023
gardenEstates, Wed May 24 18:06:25 EEST 2023
bidOTD, Wed May 24 18:06:25 EEST 2023
bidderOTD, Wed May 24 18:06:25 EEST 2023
setWinners, Wed May 24 18:06:25 EEST 2023
getUser, Wed May 24 18:06:25 EEST 2023
getUser, Wed May 24 18:06:25 EEST 2023
getUser, Wed May 24 18:06:26 EEST 2023
countItems, Wed May 24 18:06:26 EEST 2023
getUser, Wed May 24 18:11:09 EEST 2023
receiveBid, Wed May 24 18:11:09 EEST 2023
getUser, Wed May 24 18:11:09 EEST 2023
receiveBid, Wed May 24 18:11:09 EEST 2023
getUser, Wed May 24 18:11:09 EEST 2023
receiveBid, Wed May 24 18:11:09 EEST 2023
getUser, Wed May 24 18:11:09 EEST 2023
receiveBid, Wed May 24 18:11:09 EEST 2023
getUser, Wed May 24 18:11:09 EEST 2023
receiveBid, Wed May 24 18:11:09 EEST 2023
getUser, Wed May 24 18:14:17 EEST 2023
receiveBid, Wed May 24 18:14:17 EEST 2023
getUser, Wed May 24 18:15:07 EEST 2023
receiveBid, Wed May 24 18:15:07 EEST 2023
getUser, Wed May 24 18:15:07 EEST 2023
receiveBid, Wed May 24 18:15:07 EEST 2023
getUser, Wed May 24 18:15:07 EEST 2023
receiveBid, Wed May 24 18:15:07 EEST 2023
getUser, Wed May 24 18:15:07 EEST 2023
receiveBid, Wed May 24 18:15:07 EEST 2023
getUser, Wed May 24 18:15:07 EEST 2023
receiveBid, Wed May 24 18:15:07 EEST 2023
getUser, Wed May 24 18:22:05 EEST 2023
receiveBid, Wed May 24 18:22:05 EEST 2023
getUser, Wed May 24 18:22:05 EEST 2023
receiveBid, Wed May 24 18:22:05 EEST 2023
getUser, Wed May 24 18:22:05 EEST 2023
receiveBid, Wed May 24 18:22:05 EEST 2023
getUser, Wed May 24 18:22:05 EEST 2023
receiveBid, Wed May 24 18:22:05 EEST 2023
getUser, Wed May 24 18:22:05 EEST 2023
receiveBid, Wed May 24 18:22:05 EEST 2023
getUser, Wed May 24 18:22:23 EEST 2023
receiveBid, Wed May 24 18:22:23 EEST 2023
getUser, Wed May 24 18:22:23 EEST 2023
receiveBid, Wed May 24 18:22:23 EEST 2023
getUser, Wed May 24 18:22:23 EEST 2023
receiveBid, Wed May 24 18:22:23 EEST 2023
getUser, Wed May 24 18:22:23 EEST 2023
receiveBid, Wed May 24 18:22:23 EEST 2023
getUser, Wed May 24 18:22:23 EEST 2023
receiveBid, Wed May 24 18:22:23 EEST 2023
getUser, Wed May 24 18:24:52 EEST 2023
receiveBid, Wed May 24 18:24:52 EEST 2023
getUser, Wed May 24 18:24:52 EEST 2023
receiveBid, Wed May 24 18:24:52 EEST 2023
getUser, Wed May 24 18:24:52 EEST 2023
receiveBid, Wed May 24 18:24:52 EEST 2023
getUser, Wed May 24 18:24:52 EEST 2023
receiveBid, Wed May 24 18:24:52 EEST 2023
getUser, Wed May 24 18:24:52 EEST 2023
receiveBid, Wed May 24 18:24:52 EEST 2023
getUser, Wed May 24 18:24:55 EEST 2023
receiveBid, Wed May 24 18:24:55 EEST 2023
getUser, Wed May 24 19:01:59 EEST 2023
receiveBid, Wed May 24 19:01:59 EEST 2023
printBids, Wed May 24 19:02:13 EEST 2023
updateBidAmount, Wed May 24 19:02:13 EEST 2023
deleteSmallBids, Wed May 24 19:02:13 EEST 2023
printBids, Wed May 24 19:09:50 EEST 2023
updateBidAmount, Wed May 24 19:09:50 EEST 2023
deleteSmallBids, Wed May 24 19:09:50 EEST 2023
printBids, Wed May 24 19:10:41 EEST 2023
updateBidAmount, Wed May 24 19:10:41 EEST 2023
deleteSmallBids, Wed May 24 19:10:41 EEST 2023
printBids, Wed May 24 19:13:24 EEST 2023
updateBidAmount, Wed May 24 19:13:24 EEST 2023
deleteSmallBids, Wed May 24 19:13:24 EEST 2023
printBids, Wed May 24 19:14:40 EEST 2023
updateBidAmount, Wed May 24 19:14:40 EEST 2023
deleteSmallBids, Wed May 24 19:14:40 EEST 2023
printBids, Wed May 24 19:24:20 EEST 2023
updateBidAmount, Wed May 24 19:24:20 EEST 2023
deleteSmallBids, Wed May 24 19:24:20 EEST 2023
banUser, Wed May 24 19:24:20 EEST 2023
printBids, Wed May 24 19:24:46 EEST 2023
updateBidAmount, Wed May 24 19:24:46 EEST 2023
deleteSmallBids, Wed May 24 19:24:46 EEST 2023
banUser, Wed May 24 19:24:46 EEST 2023
insertUser, Wed May 24 19:24:46 EEST 2023
printBids, Wed May 24 19:25:00 EEST 2023
updateBidAmount, Wed May 24 19:25:00 EEST 2023
deleteSmallBids, Wed May 24 19:25:00 EEST 2023
banUser, Wed May 24 19:25:00 EEST 2023
insertUser, Wed May 24 19:25:00 EEST 2023
printBids, Wed May 24 19:26:51 EEST 2023
updateBidAmount, Wed May 24 19:26:51 EEST 2023
deleteSmallBids, Wed May 24 19:26:51 EEST 2023
banUser, Wed May 24 19:26:51 EEST 2023
insertUser, Wed May 24 19:26:51 EEST 2023
updateAddress, Wed May 24 19:26:51 EEST 2023
printBids, Wed May 24 19:27:11 EEST 2023
updateBidAmount, Wed May 24 19:27:11 EEST 2023
deleteSmallBids, Wed May 24 19:27:11 EEST 2023
banUser, Wed May 24 19:27:11 EEST 2023
insertUser, Wed May 24 19:27:11 EEST 2023
printBids, Wed May 24 19:28:14 EEST 2023
updateBidAmount, Wed May 24 19:28:14 EEST 2023
deleteSmallBids, Wed May 24 19:28:14 EEST 2023
banUser, Wed May 24 19:28:14 EEST 2023
insertUser, Wed May 24 19:28:14 EEST 2023
updateAddress, Wed May 24 19:28:14 EEST 2023
printUsers, Wed May 24 19:28:14 EEST 2023
printBids, Wed May 24 19:29:10 EEST 2023
updateBidAmount, Wed May 24 19:29:10 EEST 2023
deleteSmallBids, Wed May 24 19:29:10 EEST 2023
banUser, Wed May 24 19:29:10 EEST 2023
insertUser, Wed May 24 19:29:10 EEST 2023
printBids, Wed May 24 19:29:16 EEST 2023
updateBidAmount, Wed May 24 19:29:16 EEST 2023
deleteSmallBids, Wed May 24 19:29:16 EEST 2023
banUser, Wed May 24 19:29:16 EEST 2023
insertUser, Wed May 24 19:29:16 EEST 2023
printBids, Wed May 24 19:29:35 EEST 2023
updateBidAmount, Wed May 24 19:29:35 EEST 2023
deleteSmallBids, Wed May 24 19:29:35 EEST 2023
banUser, Wed May 24 19:29:35 EEST 2023
insertUser, Wed May 24 19:29:35 EEST 2023
updateAddress, Wed May 24 19:29:35 EEST 2023
printUsers, Wed May 24 19:29:35 EEST 2023
printBids, Wed May 24 19:31:13 EEST 2023
updateBidAmount, Wed May 24 19:31:13 EEST 2023
deleteSmallBids, Wed May 24 19:31:13 EEST 2023
banUser, Wed May 24 19:31:13 EEST 2023
insertUser, Wed May 24 19:31:13 EEST 2023
updateAddress, Wed May 24 19:31:13 EEST 2023
printUsers, Wed May 24 19:31:13 EEST 2023
printBids, Wed May 24 19:31:33 EEST 2023
updateBidAmount, Wed May 24 19:31:33 EEST 2023
deleteSmallBids, Wed May 24 19:31:33 EEST 2023
banUser, Wed May 24 19:31:33 EEST 2023
insertUser, Wed May 24 19:31:33 EEST 2023
updateAddress, Wed May 24 19:31:33 EEST 2023
printUsers, Wed May 24 19:31:33 EEST 2023
dropTables, Thu May 25 11:36:54 EEST 2023
createTables, Thu May 25 11:36:54 EEST 2023
dropTables, Thu May 25 11:37:28 EEST 2023
createTables, Thu May 25 11:38:23 EEST 2023
createTables, Thu May 25 11:38:50 EEST 2023
createTables, Thu May 25 11:39:48 EEST 2023
createTables, Thu May 25 11:40:09 EEST 2023
createTables, Thu May 25 11:42:57 EEST 2023
createTables, Thu May 25 11:47:03 EEST 2023
createTables, Thu May 25 11:48:43 EEST 2023
createTables, Thu May 25 11:51:03 EEST 2023
createTables, Thu May 25 11:51:29 EEST 2023
createTables, Thu May 25 11:51:34 EEST 2023
getUser, Thu May 25 11:59:07 EEST 2023
receiveBid, Thu May 25 11:59:07 EEST 2023
getUser, Thu May 25 11:59:07 EEST 2023
receiveBid, Thu May 25 11:59:07 EEST 2023
getUser, Thu May 25 11:59:07 EEST 2023
receiveBid, Thu May 25 11:59:07 EEST 2023
getUser, Thu May 25 11:59:07 EEST 2023
receiveBid, Thu May 25 11:59:07 EEST 2023
getUser, Thu May 25 11:59:07 EEST 2023
receiveBid, Thu May 25 11:59:07 EEST 2023
cheapest, Thu May 25 11:59:07 EEST 2023
mostExpensive, Thu May 25 11:59:07 EEST 2023
balconyEstates, Thu May 25 11:59:07 EEST 2023
gardenEstates, Thu May 25 11:59:07 EEST 2023
bidOTD, Thu May 25 11:59:07 EEST 2023
bidderOTD, Thu May 25 11:59:07 EEST 2023
setWinners, Thu May 25 11:59:07 EEST 2023
getUser, Thu May 25 11:59:07 EEST 2023
getUser, Thu May 25 11:59:07 EEST 2023
getUser, Thu May 25 11:59:07 EEST 2023
countItems, Thu May 25 11:59:07 EEST 2023
printBids, Thu May 25 11:59:07 EEST 2023
updateBidAmount, Thu May 25 11:59:07 EEST 2023
deleteSmallBids, Thu May 25 11:59:07 EEST 2023
insertTicket, Thu May 25 11:59:07 EEST 2023
deleteProductsByOwner, Thu May 25 11:59:07 EEST 2023
deleteExpensiveTickets, Thu May 25 11:59:07 EEST 2023
updateTicketDate, Thu May 25 11:59:07 EEST 2023
insertVehicle, Thu May 25 11:59:07 EEST 2023
insertTicket, Thu May 25 12:00:55 EEST 2023
insertTicket, Thu May 25 12:01:56 EEST 2023
insertTicket, Thu May 25 12:02:32 EEST 2023
insertTicket, Thu May 25 12:03:48 EEST 2023
insertTicket, Thu May 25 12:04:04 EEST 2023
deleteProductsByOwner, Thu May 25 12:04:04 EEST 2023
deleteExpensiveTickets, Thu May 25 12:04:04 EEST 2023
updateTicketDate, Thu May 25 12:04:04 EEST 2023
insertVehicle, Thu May 25 12:04:04 EEST 2023
insertTicket, Thu May 25 12:05:45 EEST 2023
insertTicket, Thu May 25 12:05:51 EEST 2023
deleteProductsByOwner, Thu May 25 12:05:51 EEST 2023
deleteExpensiveTickets, Thu May 25 12:05:51 EEST 2023
updateTicketDate, Thu May 25 12:05:51 EEST 2023
insertVehicle, Thu May 25 12:05:51 EEST 2023
insertTicket, Thu May 25 12:06:16 EEST 2023
deleteProductsByOwner, Thu May 25 12:06:16 EEST 2023
deleteExpensiveTickets, Thu May 25 12:06:16 EEST 2023
updateTicketDate, Thu May 25 12:06:16 EEST 2023
insertVehicle, Thu May 25 12:06:16 EEST 2023
deleteOlderVehicles, Thu May 25 12:06:16 EEST 2023
updateVehicleConsume, Thu May 25 12:06:16 EEST 2023
insertTicket, Thu May 25 12:07:31 EEST 2023
deleteProductsByOwner, Thu May 25 12:07:31 EEST 2023
deleteExpensiveTickets, Thu May 25 12:07:31 EEST 2023
updateTicketDate, Thu May 25 12:07:31 EEST 2023
insertVehicle, Thu May 25 12:07:31 EEST 2023
deleteOlderVehicles, Thu May 25 12:07:31 EEST 2023
updateVehicleConsume, Thu May 25 12:07:31 EEST 2023
insertTicket, Thu May 25 12:09:15 EEST 2023
deleteProductsByOwner, Thu May 25 12:09:15 EEST 2023
deleteExpensiveTickets, Thu May 25 12:09:15 EEST 2023
updateTicketDate, Thu May 25 12:09:15 EEST 2023
insertVehicle, Thu May 25 12:09:15 EEST 2023
deleteOlderVehicles, Thu May 25 12:09:15 EEST 2023
updateVehicleConsume, Thu May 25 12:09:15 EEST 2023
dropTables, Thu May 25 12:10:30 EEST 2023
insertTicket, Thu May 25 12:10:30 EEST 2023
insertTicket, Thu May 25 12:10:59 EEST 2023
deleteProductsByOwner, Thu May 25 12:10:59 EEST 2023
deleteExpensiveTickets, Thu May 25 12:10:59 EEST 2023
updateTicketDate, Thu May 25 12:10:59 EEST 2023
insertVehicle, Thu May 25 12:10:59 EEST 2023
deleteOlderVehicles, Thu May 25 12:10:59 EEST 2023
updateVehicleConsume, Thu May 25 12:10:59 EEST 2023
dropTables, Thu May 25 12:12:55 EEST 2023
insertTicket, Thu May 25 12:12:55 EEST 2023
insertTicket, Thu May 25 12:13:17 EEST 2023
deleteProductsByOwner, Thu May 25 12:13:17 EEST 2023
deleteExpensiveTickets, Thu May 25 12:13:17 EEST 2023
updateTicketDate, Thu May 25 12:13:17 EEST 2023
insertVehicle, Thu May 25 12:13:17 EEST 2023
deleteOlderVehicles, Thu May 25 12:13:17 EEST 2023
updateVehicleConsume, Thu May 25 12:13:17 EEST 2023
dropTables, Thu May 25 12:20:22 EEST 2023
createTables, Thu May 25 12:20:23 EEST 2023
insertTicket, Thu May 25 12:20:23 EEST 2023
deleteProductsByOwner, Thu May 25 12:20:23 EEST 2023
deleteExpensiveTickets, Thu May 25 12:20:23 EEST 2023
updateTicketDate, Thu May 25 12:20:23 EEST 2023
insertVehicle, Thu May 25 12:20:23 EEST 2023
deleteOlderVehicles, Thu May 25 12:20:23 EEST 2023
updateVehicleConsume, Thu May 25 12:20:23 EEST 2023
dropTables, Thu May 25 12:22:10 EEST 2023
createTables, Thu May 25 12:22:10 EEST 2023
insertTicket, Thu May 25 12:22:10 EEST 2023
deleteProductsByOwner, Thu May 25 12:22:10 EEST 2023
deleteExpensiveTickets, Thu May 25 12:22:10 EEST 2023
updateTicketDate, Thu May 25 12:22:10 EEST 2023
insertVehicle, Thu May 25 12:22:10 EEST 2023
deleteOlderVehicles, Thu May 25 12:22:10 EEST 2023
updateVehicleConsume, Thu May 25 12:22:10 EEST 2023
dropTables, Thu May 25 12:24:25 EEST 2023
createTables, Thu May 25 12:24:26 EEST 2023
insertTicket, Thu May 25 12:24:26 EEST 2023
deleteProductsByOwner, Thu May 25 12:24:26 EEST 2023
deleteExpensiveTickets, Thu May 25 12:24:26 EEST 2023
